File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF002DLU	fastq	reads	ENCSR314LXG	RNA-seq	EFO:0005719	Karpas-422	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF002DLT		6028901650	Thomas Gingeras, CSHL	24c811d6d139c094165629f88b64d2a5	SRA:SRR3192594	https://www.encodeproject.org/files/ENCFF002DLU/@@download/ENCFF002DLU.fastq.gz		Illumina HiSeq 2000		released		low replicate concordance	missing RIN, inconsistent assay_term_name		
ENCFF911ELB	fastq	reads	ENCSR034RPU	RNA-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens					RNA	rRNA	Qiagen RNA extraction			False	2017-10-10	GGR				1	1	101		paired-ended	1	ENCFF731PHT		9516191642	Michael Snyder, Stanford	fe0093d6fcb1c3639991093f002b4def		https://www.encodeproject.org/files/ENCFF911ELB/@@download/ENCFF911ELB.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name, experiment not submitted to GEO		
ENCFF731PHT	fastq	reads	ENCSR034RPU	RNA-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens					RNA	rRNA	Qiagen RNA extraction			False	2017-10-10	GGR				1	1	101		paired-ended	2	ENCFF911ELB		9696007620	Michael Snyder, Stanford	228370701b894d276c40b40338c4f541		https://www.encodeproject.org/files/ENCFF731PHT/@@download/ENCFF731PHT.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name, experiment not submitted to GEO		
ENCFF578CTE	fastq	reads	ENCSR034RPU	RNA-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens					RNA	rRNA	Qiagen RNA extraction			False	2017-10-10	GGR				2	1	101		paired-ended	1	ENCFF731EBK		6804506459	Michael Snyder, Stanford	bc2b963a7c87fcd078113dd38dca0fc6		https://www.encodeproject.org/files/ENCFF578CTE/@@download/ENCFF578CTE.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name, experiment not submitted to GEO		
ENCFF731EBK	fastq	reads	ENCSR034RPU	RNA-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens					RNA	rRNA	Qiagen RNA extraction			False	2017-10-10	GGR				2	1	101		paired-ended	2	ENCFF578CTE		6906221982	Michael Snyder, Stanford	483c3bb442d4d1157b047896b76e3fe7		https://www.encodeproject.org/files/ENCFF731EBK/@@download/ENCFF731EBK.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name, experiment not submitted to GEO		
ENCFF002DLR	fastq	reads	ENCSR001HHK	RNA-seq	EFO:0006711	OCI-LY7	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF002DLS		5936318351	Thomas Gingeras, CSHL	cc93265ecd7cf0ed9c43da0a5819bf03	SRA:SRR3192557	https://www.encodeproject.org/files/ENCFF002DLR/@@download/ENCFF002DLR.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF002DLS	fastq	reads	ENCSR001HHK	RNA-seq	EFO:0006711	OCI-LY7	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF002DLR		6008559637	Thomas Gingeras, CSHL	ef6637e30aae48c1c807c2f096f13f5d	SRA:SRR3192557	https://www.encodeproject.org/files/ENCFF002DLS/@@download/ENCFF002DLS.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF002DMD	fastq	reads	ENCSR001HHK	RNA-seq	EFO:0006711	OCI-LY7	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF002DME		5552350833	Thomas Gingeras, CSHL	7b482b390a7158d3b9529bdfabc6ab45	SRA:SRR3192556	https://www.encodeproject.org/files/ENCFF002DMD/@@download/ENCFF002DMD.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF002DME	fastq	reads	ENCSR001HHK	RNA-seq	EFO:0006711	OCI-LY7	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF002DMD		5634014057	Thomas Gingeras, CSHL	ff4d8345b1d890b1ee7c69c75c089702	SRA:SRR3192556	https://www.encodeproject.org/files/ENCFF002DME/@@download/ENCFF002DME.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF393GQZ	fastq	reads	ENCSR233IJT	RNA-seq	CL:0000127	astrocyte	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-11-20	ENCODE				2	1	101		paired-ended	1	ENCFF253MPW		8785847717	Thomas Gingeras, CSHL	36e3edf98d438ecdf8eb6d49e83b0c97	SRA:SRR3192576	https://www.encodeproject.org/files/ENCFF393GQZ/@@download/ENCFF393GQZ.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released		low read depth, low replicate concordance	missing RIN, inconsistent assay_term_name		
ENCFF253MPW	fastq	reads	ENCSR233IJT	RNA-seq	CL:0000127	astrocyte	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-11-20	ENCODE				2	1	101		paired-ended	2	ENCFF393GQZ		8626486262	Thomas Gingeras, CSHL	cb451483cf8b51941d02345e08c6c1f0	SRA:SRR3192576	https://www.encodeproject.org/files/ENCFF253MPW/@@download/ENCFF253MPW.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released		low read depth, low replicate concordance	missing RIN, inconsistent assay_term_name		
ENCFF424DEO	fastq	reads	ENCSR233IJT	RNA-seq	CL:0000127	astrocyte	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-11-20	ENCODE				1	1	101		paired-ended	1	ENCFF969BOA		8868925199	Thomas Gingeras, CSHL	ff42466b9f4f91df01e24fa8e546ead3	SRA:SRR3192577	https://www.encodeproject.org/files/ENCFF424DEO/@@download/ENCFF424DEO.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released		low read depth, low replicate concordance	missing RIN, inconsistent assay_term_name		
ENCFF969BOA	fastq	reads	ENCSR233IJT	RNA-seq	CL:0000127	astrocyte	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-11-20	ENCODE				1	1	101		paired-ended	2	ENCFF424DEO		8714922491	Thomas Gingeras, CSHL	6991a2b8d88e06123e3e9f823a28088f	SRA:SRR3192577	https://www.encodeproject.org/files/ENCFF969BOA/@@download/ENCFF969BOA.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released		low read depth, low replicate concordance	missing RIN, inconsistent assay_term_name		
ENCFF002DLH	fastq	reads	ENCSR580GSX	RNA-seq	EFO:0002101	A172	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF002DLI		7941501492	Thomas Gingeras, CSHL	e477a504f3d78ced8804be24b9d61979	SRA:SRR3192629	https://www.encodeproject.org/files/ENCFF002DLH/@@download/ENCFF002DLH.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF002DLI	fastq	reads	ENCSR580GSX	RNA-seq	EFO:0002101	A172	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF002DLH		7927612898	Thomas Gingeras, CSHL	e314f9ca7c0f358a48c3bbe5b5546e77	SRA:SRR3192629	https://www.encodeproject.org/files/ENCFF002DLI/@@download/ENCFF002DLI.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF002DMR	fastq	reads	ENCSR580GSX	RNA-seq	EFO:0002101	A172	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF002DMS		9345825700	Thomas Gingeras, CSHL	1d30f10fbe205905a8b78a5c9f251359	SRA:SRR3192628	https://www.encodeproject.org/files/ENCFF002DMR/@@download/ENCFF002DMR.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF002DMS	fastq	reads	ENCSR580GSX	RNA-seq	EFO:0002101	A172	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF002DMR		9335535597	Thomas Gingeras, CSHL	c52a7ebb4fc6871ab87978e7a143a903	SRA:SRR3192628	https://www.encodeproject.org/files/ENCFF002DMS/@@download/ENCFF002DMS.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF840QXH	fastq	reads	ENCSR620NSN	RNA-seq	CL:2000093	bronchus fibroblast of lung	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2015-05-18	ENCODE				2	1	101		paired-ended	1	ENCFF602JUN		8750030850	Thomas Gingeras, CSHL	a696ca96644ddff60f383692a465fed1	SRA:SRR3192640	https://www.encodeproject.org/files/ENCFF840QXH/@@download/ENCFF840QXH.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF172EXJ	fastq	reads	ENCSR620NSN	RNA-seq	CL:2000093	bronchus fibroblast of lung	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2015-05-18	ENCODE				1	1	101		paired-ended	2	ENCFF480YLH		5722980435	Thomas Gingeras, CSHL	1046407c9d5c87e4ba3b4a16ead2fdd8	SRA:SRR3192639	https://www.encodeproject.org/files/ENCFF172EXJ/@@download/ENCFF172EXJ.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF480YLH	fastq	reads	ENCSR620NSN	RNA-seq	CL:2000093	bronchus fibroblast of lung	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2015-05-18	ENCODE				1	1	101		paired-ended	1	ENCFF172EXJ		5726672213	Thomas Gingeras, CSHL	9f48c01fbffd7b1537b1abf093eeaf5c	SRA:SRR3192639	https://www.encodeproject.org/files/ENCFF480YLH/@@download/ENCFF480YLH.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF602JUN	fastq	reads	ENCSR620NSN	RNA-seq	CL:2000093	bronchus fibroblast of lung	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2015-05-18	ENCODE				2	1	101		paired-ended	2	ENCFF840QXH		8748324156	Thomas Gingeras, CSHL	4c84b7a8032832216f85b92ae5f7c75f	SRA:SRR3192640	https://www.encodeproject.org/files/ENCFF602JUN/@@download/ENCFF602JUN.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF653EZE	fastq	reads	ENCSR908ZAS	RNA-seq	CL:0000182	hepatocyte	in vitro differentiated cells	Homo sapiens					RNA	rRNA	see document	see document		True	2014-12-17	ENCODE				2	1	101		paired-ended	1	ENCFF644RGE		9486112206	Thomas Gingeras, CSHL	fd50dcebf4b6177200008d248e1176db	SRA:SRR3192684	https://www.encodeproject.org/files/ENCFF653EZE/@@download/ENCFF653EZE.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF644RGE	fastq	reads	ENCSR908ZAS	RNA-seq	CL:0000182	hepatocyte	in vitro differentiated cells	Homo sapiens					RNA	rRNA	see document	see document		True	2014-12-17	ENCODE				2	1	101		paired-ended	2	ENCFF653EZE		9497187323	Thomas Gingeras, CSHL	00b2d3ad56200e8a580c94f0dcf89793	SRA:SRR3192684	https://www.encodeproject.org/files/ENCFF644RGE/@@download/ENCFF644RGE.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF245VTB	fastq	reads	ENCSR908ZAS	RNA-seq	CL:0000182	hepatocyte	in vitro differentiated cells	Homo sapiens					RNA	rRNA	see document	see document		True	2014-12-17	ENCODE				1	1	101		paired-ended	1	ENCFF369QXD		8410513394	Thomas Gingeras, CSHL	2fe2e6b61bc7147cd05339fa5de5a7f1	SRA:SRR3192683	https://www.encodeproject.org/files/ENCFF245VTB/@@download/ENCFF245VTB.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF369QXD	fastq	reads	ENCSR908ZAS	RNA-seq	CL:0000182	hepatocyte	in vitro differentiated cells	Homo sapiens					RNA	rRNA	see document	see document		True	2014-12-17	ENCODE				1	1	101		paired-ended	2	ENCFF245VTB		8411112801	Thomas Gingeras, CSHL	a4c9ef4019f691b607d9f6c8c7d13285	SRA:SRR3192683	https://www.encodeproject.org/files/ENCFF369QXD/@@download/ENCFF369QXD.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF969DGM	fastq	reads	ENCSR108MAU	RNA-seq	UBERON:0036149	suprapubic skin	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-05-03	ENCODE				1	1	101		paired-ended	1	ENCFF917OEC		3865779710	Thomas Gingeras, CSHL	010f350e10dbde9dc973842614b165c8	SRA:SRR4421337	https://www.encodeproject.org/files/ENCFF969DGM/@@download/ENCFF969DGM.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF917OEC	fastq	reads	ENCSR108MAU	RNA-seq	UBERON:0036149	suprapubic skin	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-05-03	ENCODE				1	1	101		paired-ended	2	ENCFF969DGM		3942400257	Thomas Gingeras, CSHL	07c63d04a6e032cd2c31cd7e100d9dd4	SRA:SRR4421337	https://www.encodeproject.org/files/ENCFF917OEC/@@download/ENCFF917OEC.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released			inconsistent assay_term_name		
ENCFF002DID	fastq	reads	ENCSR320BRR	RNA-seq	EFO:0005712	RPMI-7951	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF002DIQ		6232440430	Thomas Gingeras, CSHL	65aa97c33d5a7a2cb621c15ec52097fe	SRA:SRR3192596	https://www.encodeproject.org/files/ENCFF002DID/@@download/ENCFF002DID.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF002DIQ	fastq	reads	ENCSR320BRR	RNA-seq	EFO:0005712	RPMI-7951	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF002DID		6269520193	Thomas Gingeras, CSHL	1401dd9bc6e005b6a39c9c0e7c2541aa	SRA:SRR3192596	https://www.encodeproject.org/files/ENCFF002DIQ/@@download/ENCFF002DIQ.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF002DLX	fastq	reads	ENCSR320BRR	RNA-seq	EFO:0005712	RPMI-7951	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF002DLY		6472820190	Thomas Gingeras, CSHL	c9bccafa2ef59649992a4d1036ce664e	SRA:SRR3192597	https://www.encodeproject.org/files/ENCFF002DLX/@@download/ENCFF002DLX.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF002DLY	fastq	reads	ENCSR320BRR	RNA-seq	EFO:0005712	RPMI-7951	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF002DLX		6486141169	Thomas Gingeras, CSHL	87d15f9965616eaf50a245bb736e2738	SRA:SRR3192597	https://www.encodeproject.org/files/ENCFF002DLY/@@download/ENCFF002DLY.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF757UTO	fastq	reads	ENCSR653DFZ	RNA-seq	EFO:0002179	G401	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-11-20	ENCODE				1	1	101		paired-ended	2	ENCFF780REB		7706174277	Thomas Gingeras, CSHL	c4032c8b21fb4d998970025e79e525cf	SRA:SRR3192631	https://www.encodeproject.org/files/ENCFF757UTO/@@download/ENCFF757UTO.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF780REB	fastq	reads	ENCSR653DFZ	RNA-seq	EFO:0002179	G401	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-11-20	ENCODE				1	1	101		paired-ended	1	ENCFF757UTO		7854874172	Thomas Gingeras, CSHL	3c9cc0c21dee1dfe5292c3c849a92710	SRA:SRR3192631	https://www.encodeproject.org/files/ENCFF780REB/@@download/ENCFF780REB.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF695ZUU	fastq	reads	ENCSR653DFZ	RNA-seq	EFO:0002179	G401	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-11-20	ENCODE				2	1	101		paired-ended	1	ENCFF336BBB		9385120190	Thomas Gingeras, CSHL	f91e14a7bf827c1eff0f224d32e5fac7	SRA:SRR3192632	https://www.encodeproject.org/files/ENCFF695ZUU/@@download/ENCFF695ZUU.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF336BBB	fastq	reads	ENCSR653DFZ	RNA-seq	EFO:0002179	G401	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-11-20	ENCODE				2	1	101		paired-ended	2	ENCFF695ZUU		9214566107	Thomas Gingeras, CSHL	c6e697dab02da32eb3f45f0fd0a5d548	SRA:SRR3192632	https://www.encodeproject.org/files/ENCFF336BBB/@@download/ENCFF336BBB.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF258EFA	fastq	reads	ENCSR332DBS	RNA-seq	EFO:0005714	LHCN-M2	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-11-20	ENCODE				2	1	101		paired-ended	2	ENCFF332PIT		9832229455	Thomas Gingeras, CSHL	8581c2593e6d53bb7433e3cc5bcb0b12	SRA:SRR3192601	https://www.encodeproject.org/files/ENCFF258EFA/@@download/ENCFF258EFA.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF332PIT	fastq	reads	ENCSR332DBS	RNA-seq	EFO:0005714	LHCN-M2	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-11-20	ENCODE				2	1	101		paired-ended	1	ENCFF258EFA		9689883669	Thomas Gingeras, CSHL	75445e8e9694f280d57222163680fa8e	SRA:SRR3192601	https://www.encodeproject.org/files/ENCFF332PIT/@@download/ENCFF332PIT.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF774XRD	fastq	reads	ENCSR332DBS	RNA-seq	EFO:0005714	LHCN-M2	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-11-20	ENCODE				1	1	101		paired-ended	2	ENCFF486ONL		8349644837	Thomas Gingeras, CSHL	c3415c213a981dc2661ad1be6fd2f806	SRA:SRR3192600	https://www.encodeproject.org/files/ENCFF774XRD/@@download/ENCFF774XRD.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF486ONL	fastq	reads	ENCSR332DBS	RNA-seq	EFO:0005714	LHCN-M2	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2014-11-20	ENCODE				1	1	101		paired-ended	1	ENCFF774XRD		8197367198	Thomas Gingeras, CSHL	58150ef832d11cacd76ae87c0e445df3	SRA:SRR3192600	https://www.encodeproject.org/files/ENCFF486ONL/@@download/ENCFF486ONL.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released			missing RIN, inconsistent assay_term_name		
ENCFF000EZZ	fastq	reads	ENCSR000CVT	RNA-seq	EFO:0002784	GM12878	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2013-03-29	ENCODE				4	1	101		paired-ended	1	ENCFF000FAK		16269134431	Thomas Gingeras, CSHL	a450a51faa2dc8e6fb566554bd5be639	SRA:SRR5048187	https://www.encodeproject.org/files/ENCFF000EZZ/@@download/ENCFF000EZZ.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF000FAG	fastq	reads	ENCSR000CVT	RNA-seq	EFO:0002784	GM12878	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2013-03-29	ENCODE				3	1	101		paired-ended	1	ENCFF000FAH		19290188232	Thomas Gingeras, CSHL	4449a8131c25557a8b635f6d3d267011	SRA:SRR5048188	https://www.encodeproject.org/files/ENCFF000FAG/@@download/ENCFF000FAG.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF000FAH	fastq	reads	ENCSR000CVT	RNA-seq	EFO:0002784	GM12878	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2013-03-29	ENCODE				3	1	101		paired-ended	2	ENCFF000FAG		19548044970	Thomas Gingeras, CSHL	d7b811e42386fc8b39117335f073ad11	SRA:SRR5048188	https://www.encodeproject.org/files/ENCFF000FAH/@@download/ENCFF000FAH.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF000FAK	fastq	reads	ENCSR000CVT	RNA-seq	EFO:0002784	GM12878	cell line	Homo sapiens					RNA	rRNA	see document	see document		True	2013-03-29	ENCODE				4	1	101		paired-ended	2	ENCFF000EZZ		16224925051	Thomas Gingeras, CSHL	b207c0c3809671f4287b4a80fec732ac	SRA:SRR5048187	https://www.encodeproject.org/files/ENCFF000FAK/@@download/ENCFF000FAK.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF002DHR	fastq	reads	ENCSR136WGP	RNA-seq	EFO:0005721	SK-N-DZ	cell line	Homo sapiens	dimethyl sulfoxide		72 hour		RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF002DHS		6792499988	Thomas Gingeras, CSHL	9a8896336f22795f476f367388454382	SRA:SRR3192569	https://www.encodeproject.org/files/ENCFF002DHR/@@download/ENCFF002DHR.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF002DHS	fastq	reads	ENCSR136WGP	RNA-seq	EFO:0005721	SK-N-DZ	cell line	Homo sapiens	dimethyl sulfoxide		72 hour		RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF002DHR		6821649345	Thomas Gingeras, CSHL	909d72a5b1274b4eb81620cddabd3ae8	SRA:SRR3192569	https://www.encodeproject.org/files/ENCFF002DHS/@@download/ENCFF002DHS.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF002DKG	fastq	reads	ENCSR136WGP	RNA-seq	EFO:0005721	SK-N-DZ	cell line	Homo sapiens	dimethyl sulfoxide		72 hour		RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF002DKM		13130773154	Thomas Gingeras, CSHL	624ecba7a68d7cc7e31d86866c6c95a2	SRA:SRR3192568	https://www.encodeproject.org/files/ENCFF002DKG/@@download/ENCFF002DKG.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF002DKM	fastq	reads	ENCSR136WGP	RNA-seq	EFO:0005721	SK-N-DZ	cell line	Homo sapiens	dimethyl sulfoxide		72 hour		RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF002DKG		13184901201	Thomas Gingeras, CSHL	30e04094d040196fb26d3d85104a1f1a	SRA:SRR3192568	https://www.encodeproject.org/files/ENCFF002DKM/@@download/ENCFF002DKM.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001ROO	fastq	reads	ENCSR000AFI	RNA-seq	UBERON:0000945	stomach	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF001ROP		5525590859	Thomas Gingeras, CSHL	5a34d2b33d014914af84846bdbec38a6	SRA:SRR3192450	https://www.encodeproject.org/files/ENCFF001ROO/@@download/ENCFF001ROO.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RNE	fastq	reads	ENCSR000AFI	RNA-seq	UBERON:0000945	stomach	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF001RNF		5136233058	Thomas Gingeras, CSHL	166bc21399ed415329d223e8d1902da7	SRA:SRR3192449	https://www.encodeproject.org/files/ENCFF001RNE/@@download/ENCFF001RNE.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001RNF	fastq	reads	ENCSR000AFI	RNA-seq	UBERON:0000945	stomach	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF001RNE		5150317586	Thomas Gingeras, CSHL	da13f8de403d003c5bb20d8956c2cb04	SRA:SRR3192449	https://www.encodeproject.org/files/ENCFF001RNF/@@download/ENCFF001RNF.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF001ROP	fastq	reads	ENCSR000AFI	RNA-seq	UBERON:0000945	stomach	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF001ROO		5530183229	Thomas Gingeras, CSHL	ff894a5994a89b2e6b6977ac9fbbd0c8	SRA:SRR3192450	https://www.encodeproject.org/files/ENCFF001ROP/@@download/ENCFF001ROP.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name		
ENCFF472QXK	fastq	reads	ENCSR959LTT	RNA-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day		RNA	rRNA	Qiagen RNA extraction			False	2017-10-10	GGR				1	1	101		paired-ended	1	ENCFF428XFL		7906097363	Michael Snyder, Stanford	019bb70461b1506d0cc877725d44929b		https://www.encodeproject.org/files/ENCFF472QXK/@@download/ENCFF472QXK.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name, experiment not submitted to GEO		
ENCFF428XFL	fastq	reads	ENCSR959LTT	RNA-seq	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens	calcium	1.2 mM	2.5 day		RNA	rRNA	Qiagen RNA extraction			False	2017-10-10	GGR				1	1	101		paired-ended	2	ENCFF472QXK		8077199801	Michael Snyder, Stanford	5f0aba1afc4d9197bd3af0126ef1d02f		https://www.encodeproject.org/files/ENCFF428XFL/@@download/ENCFF428XFL.fastq.gz		Illumina HiSeq 2000		released			missing RIN, inconsistent assay_term_name, experiment not submitted to GEO		
